Track2,Track5,Track8,Track9,Track10,Track13,Track16,TrackPosition,AngleToTrackAxis,Speed,SpeedY,Accelerate,Brake,Steering,Gear
8.06094,11.6698,40.921,200.0,21.0068,5.34966,3.63644,-0.379234,-9.97241E-4,56.9414,1.99128E-5,1.0,0.0,0.0,2
8.05325,11.6533,40.8631,200.0,21.0736,5.3665,3.63982,-0.379134,-0.00304287,58.4459,-1.96507E-5,1.0,0.0,0.0,2
8.04198,11.6357,40.8014,200.0,21.1447,5.38469,3.64688,-0.378568,-0.00526064,59.9758,1.95265E-5,1.0,0.0,0.0,2
8.02672,11.6136,40.7237,200.0,21.2342,5.40745,3.66016,-0.377025,-0.0083248,61.5312,-1.8857E-5,1.0,0.0,0.0,2
8.01153,11.5917,40.6469,200.0,21.323,5.4301,3.67546,-0.374928,-0.0114652,63.1126,1.7502E-5,1.0,0.0,0.0,2
8.03407,11.6216,40.7044,200.0,21.2231,5.39716,3.6523,-0.378973,-0.0128898,64.7207,-1.95097E-5,1.0,0.0,0.0,2
8.01856,11.5992,40.6261,200.0,21.314,5.4203,3.66796,-0.376309,-0.0128885,66.3553,1.88737E-5,1.0,0.0,0.0,2
8.00304,11.5767,40.5472,200.0,21.4051,5.44345,3.68362,-0.373646,-0.0128897,68.0182,-2.25036E-5,1.0,0.0,0.0,2
7.98753,11.5543,40.4688,200.0,21.496,5.46659,3.69928,-0.370983,-0.0128886,69.7075,1.27193E-5,1.0,0.0,0.0,2
7.97201,11.5318,40.39,200.0,21.5871,5.48975,3.71495,-0.368319,-0.0128896,71.4158,-1.86087E-5,1.0,0.0,0.0,2
7.95649,11.5094,40.3116,200.0,21.678,5.51289,3.73061,-0.365656,-0.0128886,73.1436,1.06715E-5,1.0,0.0,0.0,2
7.94097,11.4869,40.2328,200.0,21.7692,5.53604,3.74628,-0.362993,-0.0128897,74.8908,-2.84265E-5,1.0,0.0,0.0,2
7.92546,11.4645,40.1544,200.0,21.8601,5.55918,3.76194,-0.360329,-0.0128887,76.6569,7.29556E-6,1.0,0.0,0.0,2
7.90606,11.4364,40.0559,200.0,21.974,5.58812,3.78152,-0.357,-0.0128896,78.4418,-2.74925E-5,1.0,0.0,0.0,3
7.8868,11.409,39.9678,200.0,22.0812,5.61672,3.80103,-0.353671,-0.0128415,79.1823,0.00232416,1.0,0.0,0.0,3
7.86744,11.3811,39.8726,200.0,22.193,5.64555,3.82059,-0.350342,-0.0128265,79.1274,0.00136268,1.0,0.0,0.0,3
