orig_feat_0,orig_feat_1,orig_feat_2,orig_feat_3,orig_feat_4,orig_feat_5,orig_feat_6,orig_feat_7,orig_feat_8,orig_feat_9,orig_feat_10,norm_feat_0,norm_feat_1,norm_feat_2,norm_feat_3,norm_feat_4,norm_feat_5,norm_feat_6,norm_feat_7,norm_feat_8,norm_feat_9,norm_feat_10,pred_0,pred_1,pred_2
1089.75,9.98084,20.452,102.729,41.38,21.7689,0.40122,0.0128035,7012.86,236.278,0.390017,0.18825489408885113,0.5252733795742646,0.20209138012246822,0.5160646766169155,0.21084577114427863,0.3120664677495179,0.5171157168094201,0.8019002880637361,0.6502804171216735,0.9566026344521337,0.5613450807747385,1.0,0.0,0.014285714285714285
1091.19,10.0412,20.6002,101.488,41.2124,21.7016,0.398228,0.0131678,7016.02,236.367,0.387088,0.18850393013732242,0.5281607270987801,0.20348751766368348,0.5098905472636815,0.21001194029850748,0.3111440659962693,0.516138702124811,0.8020519597202047,0.6506189273040813,0.9569164948075506,0.5613079949201621,1.0,0.0,0.014285714285714285
1092.64,10.106,20.764,100.294,41.0236,21.6277,0.395123,0.0136185,7019.09,236.455,0.323893,0.18875469560279698,0.5312604640038268,0.20503061705134243,0.5039502487562189,0.20907263681592042,0.3101312058244257,0.5151247881556563,0.802239602914194,0.6509477963736989,0.9572268286421202,0.5605078445002398,1.0,0.0,0.014285714285714285
1094.08,10.1692,20.9116,98.9904,40.8699,21.5613,0.391801,0.0138793,7020.73,236.545,0.361923,0.18900373165126821,0.5342836641951686,0.20642110221384832,0.4974646766169154,0.208307960199005,0.3092211393100764,0.51404001449848,0.8023481836663406,0.6511234788734295,0.9575442155183843,0.5609893655140803,1.0,0.0,0.014285714285714285
1095.53,10.2166,20.9901,97.3777,40.8315,21.5255,0.388475,0.0136025,7023.83,236.633,0.281254,0.18925449711674278,0.5365510643386749,0.20716062176165803,0.48944129353233834,0.20811691542288557,0.30873047091830375,0.5129539346719393,0.8022329415183569,0.6514555616473104,0.9578545493529539,0.5599679661276619,1.0,0.0,0.014285714285714285
1096.97,10.2546,21.0272,95.5919,40.8613,21.5077,0.385155,0.0130085,7026.06,236.722,0.148437,0.18950353316521407,0.5383688112891652,0.20751012717852096,0.4805567164179104,0.20826517412935322,0.3084865073045173,0.5118698140994452,0.8019856371979005,0.651694446997554,0.9581684097083708,0.558286289122791,1.0,0.0,0.014285714285714285
1098.42,10.278,21.0039,93.5684,40.9901,21.5165,0.381923,0.0119709,7028.57,236.81,0.0260335,0.18975429863068863,0.5394881607270988,0.20729062647197363,0.47048955223880595,0.20890597014925372,0.3086071185293106,0.5108144292529692,0.8015536456778574,0.651963326920922,0.9584787435429404,0.5567364637896957,1.0,0.0,0.014285714285714285
1099.87,10.2854,20.9181,91.3073,41.2252,21.5538,0.378847,0.0104784,7031.94,236.896,-0.166553,0.19000506409616313,0.5398421430279837,0.20648233631653318,0.4592402985074627,0.21007562189054726,0.3091183456525821,0.5098099850117066,0.8009322623474175,0.6523243330331733,0.9587820243358149,0.5542980087086551,1.0,0.0,0.02142857142857143
1101.32,10.2821,20.7966,88.9335,41.5616,21.6088,0.375995,0.00874648,7033.38,236.984,-0.372506,0.1902558295616377,0.5396842860559674,0.20533772962788507,0.4474303482587064,0.2117492537313433,0.3098721658075401,0.5088786862548533,0.8002111995550186,0.6524785908378148,0.9590923581703845,0.5516903122226315,1.0,0.0,0.007142857142857143
1102.76,10.2722,20.6578,86.523,42.0082,21.6739,0.373364,0.00691124,7036.78,237.07,-0.55715,0.190504865610109,0.5392107151399187,0.20403014601978334,0.4354378109452736,0.21397114427860697,0.31076441475459043,0.5080195533553858,0.799447120799001,0.6528428106543294,0.9593956389632593,0.5493524219759961,1.0,0.0,0.007142857142857143
1104.21,10.2557,20.5058,84.1059,42.5711,21.7476,0.371069,0.00503287,7040.18,237.154,-0.715676,0.19075563107558355,0.5384214302798372,0.20259821008007536,0.4234124378109453,0.21677164179104477,0.3117745337622342,0.5072701386825323,0.7986650854178298,0.653207030470844,0.9596918667144393,0.5473452276494101,1.0,0.0,-0.015714286054883685
1105.66,10.2351,20.3498,81.7201,43.2522,21.8258,0.369085,0.00317664,7041.8,237.24,-0.837156,0.19100639654105808,0.5374360200908873,0.20112859161563823,0.4115427860696518,0.22016019900497513,0.3128463289643745,0.5066222786777648,0.7978922677431481,0.6533805705010657,0.9599951475073141,0.5458070953127987,1.0,0.0,-0.018571428954601288
1107.11,10.2094,20.1885,79.3663,44.0742,21.9091,0.367478,0.00134902,7045.1,237.324,-0.927677,0.19125716200653262,0.5362066491270031,0.199609043805935,0.3998323383084577,0.22424975124378108,0.31398802385361085,0.5060975251355968,0.797131361476898,0.6537340779700358,0.9602913752584941,0.5446609537484062,1.0,0.0,-0.03285714324031557
1108.56,10.1788,20.0224,77.0459,45.0657,21.9974,0.36625,-4.44828E-4,7046.89,237.409,-0.995485,0.19150792747200718,0.5347428844773977,0.19804427696655677,0.38828805970149255,0.22918258706467662,0.31519824784784345,0.5056965311407104,0.7963845157519113,0.6539258289910832,0.9605911295305213,0.5438023953233078,1.0,0.0,-0.041428572152342115
1110.01,10.1433,19.852,74.7656,46.2646,22.0905,0.365445,-0.00218872,7049.92,237.493,-1.03786,0.1917586929374817,0.5330447261420712,0.19643900141309467,0.37694328358208956,0.23514726368159206,0.3164742597828724,0.5054336645561147,0.7956584685700773,0.654250413121683,0.9608873572817013,0.5432658596156694,1.0,0.0,-0.05285714375121253
1111.47,10.095,19.6474,72.393,47.8525,22.2053,0.365084,-0.00415226,7052.99,237.575,-1.05778,0.19201118781995954,0.5307342740971059,0.1945115402731983,0.36513930348258705,0.24304726368159205,0.3180476880335848,0.505315782770973,0.79484097374619,0.6545792821913006,0.9611765319911865,0.5430136403520434,1.0,0.0,-0.05285714375121253
1112.92,10.0449,19.4515,70.1183,49.785,22.3183,0.365146,-0.00595375,7054.64,237.66,-1.1662,0.1922619532854341,0.5283377182492226,0.19266603862458784,0.3538223880597015,0.2526616915422885,0.31959644580649854,0.505336028396122,0.7940909463720165,0.6547560359257857,0.9614762862632138,0.5416408686370663,1.0,0.0,-0.06000000089406967
