Track0,Track1,Track2,Track3,Track4,Track5,Track6,Track7,Track8,Track9,Track10,Track11,Track12,Track13,Track14,Track15,Track16,Track17,Track18,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,DistanceFromStartLine,DistanceRaced,Damage,Accelerate,Brake,Steering,Gear
5.56927,5.68113,5.9831,6.52847,7.43169,8.94022,11.6617,17.5311,37.5948,200.0,27.2871,14.8335,10.4022,8.20129,6.94322,6.18267,5.72918,5.49317,5.43442,-0.0122549,0.0258964,6428.92,216.122,0.00194822,3262.36,14855.5,0.0,1.0,0.0,0.0,6
5.81868,5.93555,6.25103,6.82082,7.76448,9.34054,12.1839,18.3159,39.277,200.0,26.0355,14.1529,9.92483,7.82494,6.62459,5.89893,5.46624,5.24106,5.185,-0.0575879,0.0258911,6455.73,217.301,0.00217181,3271.99,14865.2,0.0,1.0,0.0,0.0,6
6.06942,6.19132,6.52038,7.11471,8.09901,9.74295,12.7087,19.1047,40.9675,190.591,24.7774,13.4688,9.445,7.4466,6.30427,5.61369,5.20192,4.98761,4.93426,-0.103162,0.0258835,6486.53,218.465,0.00193299,3281.67,14874.9,0.0,1.0,0.0,0.0,6
6.32155,6.4485,6.79123,7.41023,8.4354,10.1476,13.2365,19.898,42.6677,180.892,23.512,12.7808,8.96247,7.06614,5.98217,5.32686,4.93612,4.73277,4.68214,-0.148988,0.0258778,6519.65,219.604,0.00180584,3291.4,14884.6,0.0,1.0,0.0,0.0,6
6.57469,6.70672,7.06317,7.70696,8.77317,10.5539,13.7665,20.6946,44.3752,171.138,22.2412,12.0899,8.47796,6.68413,5.65875,5.03887,4.66925,4.47688,4.42899,-0.194999,0.025874,6546.92,220.717,0.00165233,3301.18,14894.4,0.0,1.0,0.0,0.0,6
6.82937,6.96651,7.33677,8.00548,9.11298,10.9627,14.2996,21.496,46.0931,161.318,20.9626,11.3948,7.99049,6.2998,5.33337,4.74913,4.40076,4.21945,4.17431,-0.241289,0.0258706,6579.89,221.78,0.00116631,3311.01,14904.2,0.0,1.0,0.0,0.0,6
7.08488,7.22714,7.61124,8.30497,9.4539,11.3728,14.8346,22.3001,47.8167,151.457,19.6797,10.6974,7.50144,5.91421,5.00693,4.45844,4.1314,3.96119,3.91881,-0.287728,0.0258682,6602.77,222.798,6.10178E-4,3320.89,14914.1,0.0,1.0,0.0,0.0,6
7.34169,7.48911,7.88713,8.606,9.79657,11.785,15.3722,23.1083,49.5494,141.542,18.3902,9.99638,7.00986,5.52664,4.67882,4.16627,3.86065,3.7016,3.66199,-0.334406,0.0258663,6637.99,223.742,-9.7375E-5,3330.81,14924.0,0.0,1.0,0.0,0.0,6
7.59951,7.75211,8.16411,8.90823,10.1406,12.1989,15.9121,23.9198,51.2897,131.569,17.0954,9.29256,6.51632,5.13754,4.34941,3.87295,3.58885,3.44099,3.40417,-0.381266,0.0258678,6664.75,224.654,-2.13874E-4,3340.77,14934.0,0.0,1.0,0.0,0.0,6
7.85868,8.01648,8.44254,9.21204,10.4865,12.6149,16.4548,24.7357,53.0394,121.549,15.7937,8.58506,6.0202,4.7464,4.01827,3.57809,3.31562,3.17902,3.145,-0.428372,0.0258687,6694.32,225.531,-6.06343E-4,3350.77,14944.0,0.0,1.0,0.0,0.0,6
