Track2,Track5,Track8,Track9,Track10,Track13,Track16,TrackPosition,AngleToTrackAxis,Speed,SpeedY,Accelerate,Brake,Steering,Gear
7.27473,10.6446,35.6754,58.4087,23.8464,6.47379,4.43237,-0.242413,0.00109989,79.3039,0.0231738,0.0,0.6000000238418579,0.0,3
7.27661,10.648,35.1386,57.1376,23.8403,6.47078,4.43057,-0.2427,0.00117332,74.5954,0.024146,0.0,0.6000000238418579,0.0,3
7.27735,10.6498,34.6132,55.9431,23.9454,6.46941,4.42991,-0.242793,0.00124818,69.8268,0.0257892,0.0,0.0,0.0,3
7.27878,10.6524,34.1083,54.8282,24.1849,6.46708,4.42854,-0.243009,0.00131065,65.0997,0.0255788,1.0,0.0,0.0,3
7.2807,10.6561,33.6139,53.7608,24.5949,6.46391,4.42672,-0.243293,0.00140697,64.9933,0.0114508,1.0,0.0,0.0,3
7.28232,10.6586,33.0932,52.6711,25.3365,6.46151,4.42513,-0.243562,0.00142175,65.9449,0.00355292,1.0,0.0,0.0,3
7.28372,10.6606,32.5508,51.563,26.7824,6.45946,4.42372,-0.243803,0.00141937,66.8943,9.33694E-4,1.0,0.0,0.0,3
7.28498,10.6624,31.9887,50.4386,72.3675,6.45764,4.42247,-0.244019,0.00141651,67.8532,2.03778E-4,1.0,0.0,0.0,3
7.28537,10.663,31.7971,50.0604,71.8785,6.45707,4.42208,-0.244085,0.00141794,68.1759,1.62481E-4,1.0,0.0,0.0,3
7.28707,10.6655,30.8059,48.1407,69.3901,6.4546,4.42038,-0.244376,0.00141603,69.8102,-4.05009E-6,1.0,0.0,0.0,3
7.28866,10.6678,30.1871,46.9683,67.8639,6.45227,4.41879,-0.244647,0.00141746,70.805,2.22553E-5,1.0,0.0,0.0,3
7.29126,10.6716,29.5514,45.7813,66.3126,6.44848,4.41619,-0.245092,0.00141603,71.8102,-1.73139E-5,1.0,0.0,0.0,3
7.29373,10.6752,28.896,44.5773,64.7344,6.44488,4.41373,-0.245512,0.00141746,72.8259,1.92328E-5,1.0,0.0,0.0,3
7.29601,10.6786,28.2206,43.3556,63.1282,6.44155,4.41144,-0.245903,0.00141603,73.8524,-1.88442E-5,1.0,0.0,0.0,3
7.29815,10.6806,27.5255,42.1165,61.4938,6.43844,4.40931,-0.246267,0.00141746,74.8899,1.91953E-5,1.0,0.0,0.0,3
