Track0,Track4,Track8,Track9,Track10,Track14,Track18,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,Accelerate,Brake,Steering,Gear
5.49994,7.17966,31.6729,195.357,31.6736,7.17982,5.50006,1.07505E-5,-1.74846E-7,9583.95,0.0,0.0,1.0,0.0,0.0,1
5.49994,7.17966,31.6729,195.357,31.6736,7.17982,5.50006,1.07505E-5,-1.74846E-7,9583.95,0.0,0.0,1.0,0.0,0.0,1
5.49994,7.17966,31.6729,195.357,31.6736,7.17982,5.50006,1.07505E-5,-1.74846E-7,9583.95,0.0,0.0,1.0,0.0,0.0,1
5.49994,7.17966,31.6729,195.357,31.6736,7.17982,5.50006,1.07505E-5,-1.74846E-7,9583.95,0.0,0.0,1.0,0.0,0.0,1
5.49994,7.17966,31.6729,195.357,31.6736,7.17982,5.50006,1.07505E-5,-1.74846E-7,9583.95,0.0,0.0,1.0,0.0,0.0,1
5.49994,7.17966,31.6729,195.357,31.6736,7.17982,5.50006,1.07505E-5,-1.74846E-7,9583.95,0.0,0.0,1.0,0.0,0.0,1
5.49994,7.17966,31.6729,195.357,31.6736,7.17982,5.50006,1.07505E-5,-1.74846E-7,9583.95,0.0,0.0,1.0,0.0,0.0,1
5.49996,7.17969,31.673,195.356,31.6735,7.17979,5.50004,7.02251E-6,-1.74846E-7,956.343,0.0841038,6.24108E-7,1.0,0.0,0.0,1
5.49999,7.17973,31.6732,195.356,31.6733,7.17975,5.50001,1.64726E-6,-1.74846E-7,971.761,0.0894816,-8.06461E-7,1.0,0.0,0.0,1
5.50002,7.17977,31.6733,195.355,31.6732,7.17971,5.49998,-3,728E-03,-1.74846E-7,987.193,0.082812,-2.30339E-7,1.0,0.0,0.0,1
5.50005,7.17981,31.6735,195.355,31.673,7.17967,5.49995,-9.10326E-6,-1.74846E-7,1002.64,0.0891978,7.19085E-7,1.0,0.0,0.0,1
5.50008,7.17984,31.6737,195.354,31.6728,7.17964,5.49992,-1.44785E-5,-1.74846E-7,1018.09,0.0818531,1.30521E-7,1.0,0.0,0.0,1
5.50011,7.17988,31.6738,195.353,31.6726,7.1796,5.49989,-1.98538E-5,-1.74846E-7,1033.55,0.0890379,-1.85795E-7,1.0,0.0,0.0,1
5.50014,7.17992,31.674,195.358,31.6725,7.17956,5.49986,-2.5229E-5,-1.74846E-7,1049.03,0.0813031,6.54366E-8,1.0,0.0,0.0,1
5.50017,7.17996,31.6742,195.357,31.6723,7.17952,5.49983,-3.06043E-5,-1.74846E-7,942.478,0.0887845,1.16351E-8,1.0,0.0,0.0,1
5.50024,7.18009,31.6759,195.38,31.6706,7.17939,5.49976,-4.35222E-5,6.97771E-6,942.478,0.414462,-2.78347E-4,1.0,0.0,0.0,1
5.5004,7.18004,31.6687,195.204,31.6778,7.17944,5.4996,-7.36063E-5,-3.83218E-5,942.478,0.763376,-1.94986E-5,1.0,0.0,0.0,1
5.50065,7.18073,31.6813,195.455,31.6652,7.17875,5.49935,-1.18776E-4,2.3667E-5,942.478,0.996947,-0.0184707,1.0,0.0,0.0,1
5.50104,7.18079,31.67,195.144,31.6764,7.17869,5.49896,-1.89174E-4,-5.11964E-5,942.478,1.49776,0.00519116,1.0,0.0,0.0,1
5.50149,7.18153,31.6771,195.254,31.6693,7.17795,5.49851,-2.70323E-4,-2.59241E-5,942.478,1.91088,0.00648354,1.0,0.0,0.0,1
5.50203,7.18233,31.6831,195.312,31.6634,7.17715,5.49797,-3.69245E-4,-1.01884E-5,942.478,2.0802,-0.00657011,1.0,0.0,0.0,1
5.50206,7.18196,31.6712,195.029,31.6753,7.17752,5.49794,-3.75054E-4,-7.74225E-5,942.478,2.55431,-0.00270363,1.0,0.0,0.0,1
5.50157,7.18153,31.6745,195.142,31.672,7.17795,5.49843,-2.85582E-4,-4.3567E-5,942.478,2.8515,0.00577042,1.0,0.0,0.0,1
5.50117,7.18075,31.6645,194.936,31.682,7.17873,5.49883,-2.13276E-4,-8.64824E-5,942.478,3.26044,0.00131699,1.0,0.0,0.0,1
5.50087,7.18043,31.665,194.971,31.6815,7.17905,5.49913,-1.58223E-4,-7.40846E-5,942.478,3.53679,-0.00108566,1.0,0.0,0.0,1
5.50066,7.18003,31.6598,194.858,31.6867,7.17945,5.49934,-1.20336E-4,-9.60191E-5,942.478,3.94624,-0.00138711,1.0,0.0,0.0,1
5.50054,7.17998,31.6625,194.904,31.6841,7.1795,5.49946,-9.80551E-5,-7.74225E-5,942.478,4.22541,-0.00139859,1.0,0.0,0.0,1
5.50052,7.17982,31.6586,194.792,31.6879,7.17966,5.49948,-9.4067E-5,-9.84033E-5,942.478,4.63516,-0.00114556,1.0,0.0,0.0,1
5.50074,7.18009,31.6592,194.729,31.6873,7.17939,5.49926,-1.34468E-4,-1.01741E-4,942.478,5.32299,-9.67243E-4,1.0,0.0,0.0,1
5.50102,7.18044,31.6601,194.685,31.6864,7.17904,5.49898,-1.86227E-4,-1.06033E-4,942.478,5.63551,-0.00121624,1.0,0.0,0.0,1
5.50138,7.18102,31.6657,194.734,31.6808,7.17846,5.49862,-2.5047E-4,-8.60055E-5,942.478,6.04851,-3.64521E-4,1.0,0.0,0.0,1
5.50182,7.18145,31.6638,194.617,31.6827,7.17803,5.49818,-3.31358E-4,-1.11278E-4,942.478,6.32459,-0.00104659,1.0,0.0,0.0,1
5.50237,7.18227,31.6704,194.667,31.6761,7.17721,5.49763,-4.3002E-4,-9.17276E-5,942.478,6.73708,-1.72691E-4,1.0,0.0,0.0,1
5.50202,7.18167,31.6639,194.519,31.6826,7.1778,5.49798,-3.67511E-4,-1.17E-4,942.478,7.01396,-9.07749E-4,1.0,0.0,0.0,1
5.50153,7.18115,31.6644,194.542,31.6821,7.17834,5.49847,-2.78299E-4,-9.84033E-5,942.478,7.42584,-2.78462E-5,1.0,0.0,0.0,1
