Track5,Track7,Track9,Track11,Track13,TrackPosition,AngleToTrackAxis,RPM,Speed,SpeedY,Accelerate,Brake,Steering,Gear
8.40619,15.5592,139.539,16.642,8.7107,0.00954368,-0.00562256,5085.36,92.3419,-2.33139E-5,1.0,0.0,0.0,3
8.36544,15.4526,136.658,16.7634,8.75242,0.013006,-0.00671261,5206.79,94.5122,6.04395E-5,1.0,0.0,0.0,3
8.32201,15.3371,133.762,16.8947,8.7983,0.016646,-0.00789755,5329.09,96.7101,3.10144E-5,1.0,0.0,0.0,3
8.26747,15.1995,130.745,17.0585,8.85563,0.0215288,-0.00919216,5452.26,98.9274,-5.1188E-5,1.0,0.0,0.0,3
8.20777,15.0487,127.711,17.2415,8.91899,0.0268333,-0.0106298,5576.46,101.164,-1.75294E-5,1.0,0.0,0.0,3
8.13503,14.8688,124.561,17.4648,8.99651,0.0335138,-0.0122215,5701.71,103.419,6.89337E-5,1.0,0.0,0.0,3
8.05451,14.67,121.39,17.7232,9.08354,0.0409268,-0.0139987,5827.98,105.693,3.92548E-5,1.0,0.0,0.0,3
7.95814,14.4344,118.104,18.0439,9.18964,0.0500044,-0.0160024,5955.36,107.987,-4.69579E-5,1.0,0.0,0.0,3
7.84945,14.1674,114.788,18.439,9.31068,0.060214,-0.0183212,6083.72,110.299,-1.25118E-5,1.0,0.0,0.0,4
7.72576,13.8604,111.338,18.9496,9.45083,0.071733,-0.0210683,4722.38,110.236,-0.0024061,1.0,0.0,0.0,4
7.5813,13.4973,107.981,19.497,9.61971,0.0853604,-0.0241887,4757.91,111.008,-6.14839E-4,1.0,0.0,0.0,4
7.40689,13.0695,104.534,20.0609,9.83207,0.101818,-0.0280063,4822.4,112.543,-1.02356E-4,1.0,0.0,0.0,4
7.20058,12.6384,101.085,20.6244,10.096,0.120805,-0.0329706,4890.37,114.086,-6.79379E-5,1.0,0.0,0.0,4
6.95468,12.201,97.5856,21.1961,10.3759,0.14376,-0.0397207,4957.54,115.641,-2.03854E-5,1.0,0.0,0.0,4
6.75081,11.839,94.2057,21.6786,10.6064,0.166193,-0.0486993,5024.95,117.207,5.7559E-5,1.0,0.0,0.0,4
6.49385,11.3884,90.6212,22.2686,10.8951,0.197931,-0.0486986,5093.0,118.784,5.09507E-6,1.0,0.0,0.0,4
6.23203,10.9292,86.967,22.8697,11.1892,0.230269,-0.0486988,5161.6,120.372,-9.93882E-5,1.0,0.0,0.0,4
5.96518,10.4612,83.2421,23.4824,11.4889,0.263228,-0.0486995,5230.59,121.971,-8.20441E-5,1.0,0.0,0.0,4
5.69833,9.99325,79.519,24.0951,11.7887,0.296187,-0.0486991,5299.66,123.578,-7.00929E-6,1.0,0.0,0.0,4
5.42484,9.51363,75.7037,24.723,12.0959,0.329967,-0.0486983,5368.92,125.191,-5.55573E-5,1.0,0.0,0.0,4
5.14811,9.02832,71.8416,25.3584,12.4068,0.364147,-0.0486984,5438.39,126.81,-1.58429E-4,1.0,0.0,0.0,4
4.87137,8.543,67.9791,25.9938,12.7176,0.398327,-0.048699,5508.06,128.434,-1.33327E-4,1.0,0.0,0.0,4
